,Country,Area,Species
0,USA,California,White shark
1,MEXICO,Colima,Tiger shark
2,BRAZIL,Pernambuco,Tiger shark
3,USA,Florida,Lemon shark
4,USA,Florida,Bull shark
5,AUSTRALIA,Queensland,Grey reef shark
6,AUSTRALIA,Westerm Australia,Tawny nurse shark
7,COSTA RICA,Cocos Island,Tiger shark
8,AUSTRALIA,Western Australia,White shark
9,MALDIVES,Alifu Alifu Atoll,Tiger shark
10,SOUTH AFRICA,Western Cape Province,White shark
11,THAILAND,Hua Hin,Bull shark
12,BAHAMAS,New Providence,Tiger shark
13,SOUTH AFRICA,Eastern Cape Province,White shark
14,USA,Hawaii,Tiger shark
15,AUSTRALIA,Western Australia,Wobbegong shark
16,SOUTH AFRICA,KwaZulu-Natal,Blacktip shark
17,AUSTRALIA,New South Wales,White shark
18,AUSTRALIA,New South Wales,Bull shark
19,ECUADOR,Galapagos Islands,Galapagos shark
20,AUSTRALIA,Western Australia,Bull shark
21,AUSTRALIA,Queensland,Grey reef shark
22,AUSTRALIA,New South Wales,White shark
23,BRAZIL,Fernando de Noronha,Small shark
24,AUSTRALIA,Western Australia,Wobbegong shark
25,USA,Hawaii,Tiger shark
26,MALAYSIA,Sepang,Nurse shark
27,COSTA RICA,Cocos Island,Tiger shark
28,COSTA RICA,Cocos Island,Tiger shark
29,USA,California,White shark
30,CUBA,Holquin Province,Tiger shark
31,AUSTRALIA,Queensland,Cookiecutter shark
32,AUSTRALIA,New South Wales,Wobbegong shark
33,AUSTRALIA,South Australia,White shark
34,USA,Florida,Spinner shark
35,USA,Hawaii,Tiger shark
36,AUSTRALIA,Western Australia,White shark
37,AUSTRALIA,Westerm Australia,White shark
38,AUSTRALIA,New South Wales,White shark
39,USA,Florida,Nurse shark
40,AUSTRALIA,Victoria,White shark
41,USA,Massachusetts,White shark
42,USA,South Carolina,Blacktip shark
43,EGYPT,Red Sea Protectorate,Oceanic whitetip shark
44,USA,California,White shark
45,USA,New Jersey,Sandtiger shark
46,SPAIN,Majorca,Blue shark
47,USA,California,White shark
48,USA,California,White shark
49,USA,Washington,White shark
50,USA,California,White shark
51,USA,Florida,Bull shark
52,MEXICO,Tabasco,Tiger shark
53,SOUTH AFRICA,Eastern Cape Province,White shark
54,USA,South Carolina,Bull shark
55,AUSTRALIA,Western Australia,White shark
56,AUSTRALIA,Victoria,Seven-gill shark
57,BAHAMAS,New Providence ,Tiger shark
58,USA,Florida,Tiger shark
59,AUSTRALIA,Western Australia,White shark
60,USA,Hawaii,Tiger shark
61,USA,Florida,Bull shark
62,USA,California,White shark
63,BAHAMAS,Great Exuma,Lemon shark
64,AUSTRALIA,Western Australia,Bull shark
65,BRAZIL,Pernambuco,Lemon shark
66,SOUTH AFRICA,KwaZulu-Natal,Tiger shark
67,USA,South Carolina,White shark
68,BAHAMAS,Bimini,Caribbean reef shark
69,AUSTRALIA,Queensland,Bull shark
70,INDONESIA,Bali,Bull shark
71,AUSTRALIA,Queensland,Bull shark
72,SOUTH AFRICA,Western Cape Province,White shark
73,AUSTRALIA,New South Wales,Wobbegong shark
74,AUSTRALIA,New South Wales,White shark
75,AUSTRALIA,Victoria,Broadnose sevengill shark
76,USA,Hawaii,Tiger shark
77,AUSTRALIA,New South Wales,White shark
78,USA,Hawaii,Tiger shark
79,USA,California,White shark
80,USA,Florida,Bull shark
81,USA,Hawaii,Tiger shark
82,USA,Florida,Blacktip shark
83,SPAIN,Alicante Province,Blue shark
84,AUSTRALIA,Western Australia,White shark
85,USA,Florida,Nurse shark
86,BAHAMAS,Abaco Islands,Bull shark
87,AUSTRALIA,Queensland,Shark
88,USA,Alabama,Tiger shark
89,USA,California,White shark
90,SPAIN,Canary Islands,Gel shark
91,USA,California,White shark
92,USA,Massachusetts,Dogfish shark
93,USA,California,White shark
94,AUSTRALIA,Queensland,Tawny nurse shark
95,COLUMBIA,Isla Provedencia,Caribbean reef shark
96,SOUTH AFRICA,Western Cape Province,White shark
97,EGYPT,Suez,Mako shark
98,AUSTRALIA,New South Wales,Bronze whaler shark
99,AUSTRALIA,Western Australia,White shark
100,USA,Florida,Bull shark
101,USA,Florida,Blacktip shark
102,USA,Florida,Nurse shark
103,NEW ZEALAND,North Island,Mako shark
104,INDONESIA,Bali,Bull shark
105,SOUTH AFRICA,Western Cape Province,White shark
106,AUSTRALIA,New South Wales,Wobbegong shark
107,FRENCH POLYNESIA,Tuamotos,Grey reef shark
108,FRENCH POLYNESIA,Tuamotos,Grey reef shark
109,USA,Florida,Bull shark
110,NEW CALEDONIA,Grand Terre,Tiger shark
111,BRAZIL,Santa Catarina State,Sandtiger shark
112,BRAZIL,Balneário Camboriú,Sandtiger shark
113,USA,Hawaii,Reef shark
114,USA,Texas,Bull shark
115,UNITED ARAB EMIRATES,Fujairah Emirate,Mako shark
116,USA,Hawaii,Tiger shark
117,AUSTRALIA,Queensland,Wobbegong shark
118,AUSTRALIA,Queensland,Blacktip shark
119,SOUTH AFRICA,KwaZulu-Natal,White shark
120,SPAIN,Grand Canary Island,Silky shark
121,AUSTRALIA,New South Wales,Bronze whaler shark
122,BRAZIL,Pernambuco,Tiger shark
123,AUSTRALIA,New South Wales,White shark
124,ECUADOR,Galapagos Islands,Galapagos shark
125,USA,Florida,Spinner shark
126,AUSTRALIA,New South Wales,Bull shark
127,SOUTH AFRICA,Western Cape Province,White shark
128,USA,Florida,Spinner shark
129,USA,Hawaii,Tiger shark
130,USA,Hawaii,Tiger shark
131,USA,Florida,Blacktip shark
132,USA,Florida,Blacktip shark
133,USA,California,White shark
134,USA,Florida,Shark
135,USA,Hawaii,Tiger shark
136,USA,California,Hammerhead shark
137,USA,California,White shark
138,USA,California,Hammerhead shark
139,AUSTRALIA,New South Wales,White shark
140,THAILAND,Phuket,Small shark
141,USA,California,White shark
142,USA,California,White shark
143,USA,California,White shark
144,USA,California,Hammerhead shark
145,AUSTRALIA,New South Wales,White shark
146,USA,Florida,Spinner shark
147,USA,South Carolina,Shark but shark
148,AUSTRALIA,Tasmania,White shark
149,USA,California,Mako shark
150,AUSTRALIA,Victoria,Bronze whaler shark
151,SOUTH AFRICA,Eastern Cape Province,White shark
152,USA,California,White shark
153,AUSTRALIA,New South Wales,White shark
154,AUSTRALIA,New South Wales,White shark
155,USA,North Carolina,Bull shark
156,SOUTH AFRICA,Western Cape Province,White shark
157,SOUTH AFRICA,Western Cape Province,White shark
158,AUSTRALIA,Western Australia,Wobbegong shark
159,USA,North Carolina,Sandtiger shark
160,AUSTRALIA,Western Australia,White shark
161,USA,South Carolina,Small shark
162,USA,North Carolina,Bull shark
163,USA,North Carolina,Bull shark
164,USA,California,Mako shark
165,USA,Florida,Bull shark
166,USA,Florida,Small nurse shark
167,REUNION,Le Port,Bull shark
168,AUSTRALIA,New South Wales,White shark
169,SOUTH AFRICA,Eastern Cape Province,White shark
170,USA,Florida,-foot shark
171,AUSTRALIA,South Australia,White shark
172,AUSTRALIA,New South Wales,White shark
173,USA,Florida,Blue shark
174,REUNION,Saint-Gilles-les-Bains,Bull shark
175,USA,Florida,Bull shark
176,SOUTH AFRICA,Eastern Cape Province,White shark
177,USA,Hawaii,Tiger shark
178,FRENCH POLYNESIA,Bora Bora,Blacktip shark
179,FRENCH POLYNESIA,Central Tuamotu,Blacktip reef shark
180,REUNION,dÉtang-Salé,Tiger shark
181,AUSTRALIA,Queensland,Bull shark
182,USA,Florida,White shark
183,BAHAMAS,Abaco Islands,White sharkoceanic whitetip shark
184,SOUTH AFRICA,Eastern Cape Province,Raggedtooth shark
185,AUSTRALIA,Western Australia,White shark
186,USA,California,White shark
187,AUSTRALIA,Queensland,Tiger shark
188,AUSTRALIA,Western Australia,White shark
189,USA,California,White shark
190,USA,Hawaii,Tiger shark
191,USA,Hawaii,Tiger shark
192,USA,South Carolina,Bull shark
193,USA,Florida,Blacktip shark
194,USA,Florida,Blacktip shark
195,USA,California,White shark
196,USA,California,White shark
197,AUSTRALIA,Western Australia,White shark
198,FRENCH POLYNESIA,Moorea,Blacktip shark
199,USA,Alabama,Bull shark
200,USA,Massachusetts,White shark
